strategy,N,path,rep,lookups,cycles,cycles_per_lookup
baseline,27,na,0,1000000,1755826,1.7558
linear,27,hit,0,1000000,53653956,53.6540
linear,27,miss,0,1000000,61849254,61.8493
binary,27,hit,0,1000000,70236996,70.2370
binary,27,miss,0,1000000,62977542,62.9775
direct,27,hit,0,1000000,5040144,5.0401
direct,27,miss,0,1000000,5039268,5.0393
baseline,27,na,1,1000000,1610088,1.6101
linear,27,hit,1,1000000,53079924,53.0799
linear,27,miss,1,1000000,69746562,69.7466
binary,27,hit,1,1000000,69145552,69.1456
binary,27,miss,1,1000000,62939508,62.9395
direct,27,hit,1,1000000,5030104,5.0301
direct,27,miss,1,1000000,5034122,5.0341
baseline,27,na,2,1000000,1610654,1.6107
linear,27,hit,2,1000000,53240742,53.2407
linear,27,miss,2,1000000,69495514,69.4955
binary,27,hit,2,1000000,70631336,70.6313
binary,27,miss,2,1000000,64087950,64.0880
direct,27,hit,2,1000000,5041150,5.0412
direct,27,miss,2,1000000,5034440,5.0344
baseline,27,na,3,1000000,1604874,1.6049
linear,27,hit,3,1000000,53057108,53.0571
linear,27,miss,3,1000000,69334008,69.3340
binary,27,hit,3,1000000,68232616,68.2326
binary,27,miss,3,1000000,63405720,63.4057
direct,27,hit,3,1000000,5029182,5.0292
direct,27,miss,3,1000000,5028828,5.0288
baseline,27,na,4,1000000,1641176,1.6412
linear,27,hit,4,1000000,53022798,53.0228
linear,27,miss,4,1000000,69700860,69.7009
binary,27,hit,4,1000000,69057420,69.0574
binary,27,miss,4,1000000,63720438,63.7204
direct,27,hit,4,1000000,5035554,5.0356
direct,27,miss,4,1000000,5034948,5.0349
baseline,27,na,5,1000000,1612240,1.6122
linear,27,hit,5,1000000,53193616,53.1936
linear,27,miss,5,1000000,69499846,69.4998
binary,27,hit,5,1000000,68554008,68.5540
binary,27,miss,5,1000000,63300996,63.3010
direct,27,hit,5,1000000,5029566,5.0296
direct,27,miss,5,1000000,5035826,5.0358
baseline,27,na,6,1000000,1605286,1.6053
linear,27,hit,6,1000000,53159738,53.1597
linear,27,miss,6,1000000,69896712,69.8967
binary,27,hit,6,1000000,69730772,69.7308
binary,27,miss,6,1000000,63063450,63.0635
direct,27,hit,6,1000000,5039034,5.0390
direct,27,miss,6,1000000,5029018,5.0290
baseline,27,na,7,1000000,1605680,1.6057
linear,27,hit,7,1000000,52961104,52.9611
linear,27,miss,7,1000000,69761628,69.7616
binary,27,hit,7,1000000,69379740,69.3797
binary,27,miss,7,1000000,62677246,62.6772
direct,27,hit,7,1000000,5028826,5.0288
direct,27,miss,7,1000000,5029512,5.0295
baseline,27,na,8,1000000,1609876,1.6099
linear,27,hit,8,1000000,53154024,53.1540
linear,27,miss,8,1000000,69840020,69.8400
binary,27,hit,8,1000000,68606158,68.6062
binary,27,miss,8,1000000,63349798,63.3498
direct,27,hit,8,1000000,5032040,5.0320
direct,27,miss,8,1000000,5034644,5.0346
baseline,27,na,9,1000000,1612930,1.6129
linear,27,hit,9,1000000,53119480,53.1195
linear,27,miss,9,1000000,68414648,68.4146
binary,27,hit,9,1000000,67955336,67.9553
binary,27,miss,9,1000000,62800128,62.8001
direct,27,hit,9,1000000,5034032,5.0340
direct,27,miss,9,1000000,5029830,5.0298
baseline,27,na,10,1000000,1605132,1.6051
linear,27,hit,10,1000000,53104248,53.1042
linear,27,miss,10,1000000,69697708,69.6977
binary,27,hit,10,1000000,67717896,67.7179
binary,27,miss,10,1000000,62724932,62.7249
direct,27,hit,10,1000000,5033304,5.0333
direct,27,miss,10,1000000,5028926,5.0289
baseline,27,na,11,1000000,1605504,1.6055
linear,27,hit,11,1000000,53232230,53.2322
linear,27,miss,11,1000000,69693666,69.6937
binary,27,hit,11,1000000,67894790,67.8948
binary,27,miss,11,1000000,63024130,63.0241
direct,27,hit,11,1000000,5036628,5.0366
direct,27,miss,11,1000000,5035456,5.0355
baseline,27,na,12,1000000,1682998,1.6830
linear,27,hit,12,1000000,56513266,56.5133
linear,27,miss,12,1000000,69123096,69.1231
binary,27,hit,12,1000000,70354292,70.3543
binary,27,miss,12,1000000,62348232,62.3482
direct,27,hit,12,1000000,5035434,5.0354
direct,27,miss,12,1000000,5033838,5.0338
baseline,27,na,13,1000000,1609104,1.6091
linear,27,hit,13,1000000,52992532,52.9925
linear,27,miss,13,1000000,69713956,69.7140
binary,27,hit,13,1000000,67565106,67.5651
binary,27,miss,13,1000000,62932312,62.9323
direct,27,hit,13,1000000,5067524,5.0675
direct,27,miss,13,1000000,5033260,5.0333
baseline,27,na,14,1000000,1609350,1.6094
linear,27,hit,14,1000000,53233220,53.2332
linear,27,miss,14,1000000,69862746,69.8627
binary,27,hit,14,1000000,68039258,68.0393
binary,27,miss,14,1000000,63360404,63.3604
direct,27,hit,14,1000000,5044266,5.0443
direct,27,miss,14,1000000,5037090,5.0371
baseline,27,na,15,1000000,1606178,1.6062
linear,27,hit,15,1000000,53269360,53.2694
linear,27,miss,15,1000000,69772982,69.7730
binary,27,hit,15,1000000,69233372,69.2334
binary,27,miss,15,1000000,63589672,63.5897
direct,27,hit,15,1000000,5028978,5.0290
direct,27,miss,15,1000000,5028928,5.0289
baseline,27,na,16,1000000,1609304,1.6093
linear,27,hit,16,1000000,53135418,53.1354
linear,27,miss,16,1000000,69750396,69.7504
binary,27,hit,16,1000000,67496946,67.4969
binary,27,miss,16,1000000,62701258,62.7013
direct,27,hit,16,1000000,5033098,5.0331
direct,27,miss,16,1000000,5028892,5.0289
baseline,27,na,17,1000000,1608250,1.6082
linear,27,hit,17,1000000,53125880,53.1259
linear,27,miss,17,1000000,69573364,69.5734
binary,27,hit,17,1000000,68284740,68.2847
binary,27,miss,17,1000000,63219026,63.2190
direct,27,hit,17,1000000,5034936,5.0349
direct,27,miss,17,1000000,5031618,5.0316
baseline,27,na,18,1000000,1614842,1.6148
linear,27,hit,18,1000000,53104520,53.1045
linear,27,miss,18,1000000,69648856,69.6489
binary,27,hit,18,1000000,68086806,68.0868
binary,27,miss,18,1000000,63287080,63.2871
direct,27,hit,18,1000000,5032890,5.0329
direct,27,miss,18,1000000,5035002,5.0350
baseline,27,na,19,1000000,1605796,1.6058
linear,27,hit,19,1000000,53200770,53.2008
linear,27,miss,19,1000000,69702960,69.7030
binary,27,hit,19,1000000,70607372,70.6074
binary,27,miss,19,1000000,63490518,63.4905
direct,27,hit,19,1000000,5030948,5.0309
direct,27,miss,19,1000000,5029198,5.0292
baseline,27,na,20,1000000,1610078,1.6101
linear,27,hit,20,1000000,53023424,53.0234
linear,27,miss,20,1000000,69525782,69.5258
binary,27,hit,20,1000000,69525194,69.5252
binary,27,miss,20,1000000,63701834,63.7018
direct,27,hit,20,1000000,5029308,5.0293
direct,27,miss,20,1000000,5034484,5.0345
baseline,27,na,21,1000000,1609974,1.6100
linear,27,hit,21,1000000,52922548,52.9225
linear,27,miss,21,1000000,69503034,69.5030
binary,27,hit,21,1000000,68526676,68.5267
binary,27,miss,21,1000000,63759778,63.7598
direct,27,hit,21,1000000,5035960,5.0360
direct,27,miss,21,1000000,5031900,5.0319
baseline,27,na,22,1000000,1610904,1.6109
linear,27,hit,22,1000000,54494952,54.4950
linear,27,miss,22,1000000,69679702,69.6797
binary,27,hit,22,1000000,68037088,68.0371
binary,27,miss,22,1000000,63391282,63.3913
direct,27,hit,22,1000000,5031314,5.0313
direct,27,miss,22,1000000,5033452,5.0335
baseline,27,na,23,1000000,1610254,1.6103
linear,27,hit,23,1000000,53257546,53.2575
linear,27,miss,23,1000000,69734572,69.7346
binary,27,hit,23,1000000,67653044,67.6530
binary,27,miss,23,1000000,62936492,62.9365
direct,27,hit,23,1000000,5028610,5.0286
direct,27,miss,23,1000000,5030134,5.0301
baseline,27,na,24,1000000,1610024,1.6100
linear,27,hit,24,1000000,53033182,53.0332
linear,27,miss,24,1000000,69797882,69.7979
binary,27,hit,24,1000000,68649626,68.6496
binary,27,miss,24,1000000,62982436,62.9824
direct,27,hit,24,1000000,5610466,5.6105
direct,27,miss,24,1000000,5044466,5.0445
baseline,27,na,25,1000000,1613640,1.6136
linear,27,hit,25,1000000,53276512,53.2765
linear,27,miss,25,1000000,69721996,69.7220
binary,27,hit,25,1000000,68563294,68.5633
binary,27,miss,25,1000000,62478668,62.4787
direct,27,hit,25,1000000,5029374,5.0294
