role,index,can_id_hex,origin
micro,0,0x002,real
micro,1,0x0A0,real
micro,2,0x0A1,real
micro,3,0x130,real
micro,4,0x131,real
micro,5,0x140,real
micro,6,0x153,real
micro,7,0x18F,real
micro,8,0x1F1,real
micro,9,0x260,real
micro,10,0x2A0,real
micro,11,0x2B0,real
micro,12,0x2C0,real
micro,13,0x316,real
micro,14,0x329,real
micro,15,0x350,real
micro,16,0x370,real
micro,17,0x430,real
micro,18,0x43F,real
micro,19,0x440,real
micro,20,0x4B1,real
micro,21,0x4F0,real
micro,22,0x545,real
micro,23,0x5A0,real
micro,24,0x5A2,real
micro,25,0x5F0,real
micro,26,0x690,real
micro,27,0x537,synth
micro,28,0x0E8,synth
micro,29,0x035,synth
micro,30,0x60C,synth
micro,31,0x23F,synth
micro,32,0x201,synth
micro,33,0x1D4,synth
micro,34,0x121,synth
micro,35,0x602,synth
micro,36,0x0D5,synth
micro,37,0x584,synth
micro,38,0x60A,synth
micro,39,0x742,synth
micro,40,0x474,synth
micro,41,0x0B6,synth
micro,42,0x4D2,synth
micro,43,0x375,synth
micro,44,0x043,synth
micro,45,0x03F,synth
micro,46,0x0C3,synth
micro,47,0x1CA,synth
micro,48,0x1E7,synth
micro,49,0x41F,synth
micro,50,0x4E9,synth
micro,51,0x038,synth
micro,52,0x495,synth
micro,53,0x1A2,synth
micro,54,0x5D7,synth
micro,55,0x54D,synth
micro,56,0x5B9,synth
micro,57,0x36F,synth
micro,58,0x1CE,synth
micro,59,0x3AC,synth
micro,60,0x4CF,synth
micro,61,0x246,synth
micro,62,0x698,synth
micro,63,0x713,synth
micro,64,0x00F,synth
micro,65,0x630,synth
micro,66,0x691,synth
micro,67,0x14D,synth
micro,68,0x5B2,synth
micro,69,0x376,synth
micro,70,0x2C9,synth
micro,71,0x145,synth
micro,72,0x1C3,synth
micro,73,0x7C7,synth
micro,74,0x639,synth
micro,75,0x2C2,synth
micro,76,0x0C1,synth
micro,77,0x31C,synth
micro,78,0x0CA,synth
micro,79,0x2F0,synth
micro,80,0x6E6,synth
micro,81,0x2D1,synth
micro,82,0x4ED,synth
micro,83,0x229,synth
micro,84,0x693,synth
micro,85,0x05A,synth
micro,86,0x5F4,synth
micro,87,0x3C1,synth
micro,88,0x462,synth
micro,89,0x103,synth
micro,90,0x7E7,synth
micro,91,0x77F,synth
micro,92,0x319,synth
micro,93,0x0A5,synth
micro,94,0x482,synth
micro,95,0x266,synth
micro,96,0x6C1,synth
micro,97,0x521,synth
micro,98,0x50C,synth
micro,99,0x734,synth
micro,100,0x703,synth
micro,101,0x2F5,synth
micro,102,0x4B7,synth
micro,103,0x193,synth
micro,104,0x5BF,synth
micro,105,0x090,synth
micro,106,0x05F,synth
micro,107,0x565,synth
micro,108,0x1DD,synth
micro,109,0x64D,synth
micro,110,0x25D,synth
micro,111,0x0A7,synth
micro,112,0x6F6,synth
micro,113,0x70D,synth
micro,114,0x0D2,synth
micro,115,0x3B5,synth
micro,116,0x52F,synth
micro,117,0x6CB,synth
micro,118,0x2FC,synth
micro,119,0x155,synth
micro,120,0x307,synth
micro,121,0x2E8,synth
micro,122,0x1B8,synth
micro,123,0x577,synth
micro,124,0x22E,synth
micro,125,0x5BA,synth
micro,126,0x79D,synth
micro,127,0x592,synth
micro,128,0x54A,synth
micro,129,0x094,synth
micro,130,0x4F9,synth
micro,131,0x52E,synth
micro,132,0x166,synth
micro,133,0x45D,synth
micro,134,0x5F3,synth
micro,135,0x156,synth
micro,136,0x3C7,synth
micro,137,0x31B,synth
micro,138,0x234,synth
micro,139,0x786,synth
micro,140,0x538,synth
micro,141,0x59C,synth
micro,142,0x48C,synth
micro,143,0x1CC,synth
micro,144,0x595,synth
micro,145,0x2A7,synth
micro,146,0x6DD,synth
micro,147,0x643,synth
micro,148,0x653,synth
micro,149,0x074,synth
micro,150,0x1E0,synth
micro,151,0x6B2,synth
micro,152,0x68E,synth
micro,153,0x294,synth
micro,154,0x348,synth
micro,155,0x230,synth
micro,156,0x089,synth
micro,157,0x1BB,synth
micro,158,0x76D,synth
micro,159,0x7AA,synth
micro,160,0x4A1,synth
micro,161,0x721,synth
micro,162,0x5DB,synth
micro,163,0x292,synth
micro,164,0x1BE,synth
micro,165,0x559,synth
micro,166,0x413,synth
micro,167,0x33D,synth
micro,168,0x732,synth
micro,169,0x76F,synth
micro,170,0x53E,synth
micro,171,0x3C0,synth
micro,172,0x128,synth
micro,173,0x22A,synth
micro,174,0x205,synth
micro,175,0x613,synth
micro,176,0x467,synth
micro,177,0x226,synth
micro,178,0x617,synth
micro,179,0x4C6,synth
micro,180,0x382,synth
micro,181,0x74D,synth
micro,182,0x4C4,synth
micro,183,0x344,synth
micro,184,0x2F6,synth
micro,185,0x11F,synth
micro,186,0x428,synth
micro,187,0x407,synth
micro,188,0x0BE,synth
micro,189,0x629,synth
micro,190,0x062,synth
micro,191,0x702,synth
micro,192,0x0E4,synth
micro,193,0x13F,synth
micro,194,0x51F,synth
micro,195,0x14E,synth
micro,196,0x674,synth
micro,197,0x58C,synth
micro,198,0x4DE,synth
micro,199,0x084,synth
micro,200,0x326,synth
micro,201,0x31F,synth
micro,202,0x4DD,synth
micro,203,0x3D3,synth
micro,204,0x453,synth
micro,205,0x20E,synth
micro,206,0x7E3,synth
micro,207,0x485,synth
micro,208,0x701,synth
micro,209,0x7A9,synth
micro,210,0x019,synth
micro,211,0x5E1,synth
micro,212,0x0EE,synth
micro,213,0x58F,synth
micro,214,0x733,synth
micro,215,0x463,synth
micro,216,0x61F,synth
micro,217,0x644,synth
micro,218,0x53A,synth
micro,219,0x267,synth
micro,220,0x38F,synth
micro,221,0x14A,synth
micro,222,0x3B6,synth
micro,223,0x008,synth
micro,224,0x7C0,synth
micro,225,0x5E3,synth
micro,226,0x720,synth
micro,227,0x5DE,synth
micro,228,0x227,synth
micro,229,0x7E5,synth
micro,230,0x416,synth
micro,231,0x636,synth
micro,232,0x175,synth
micro,233,0x424,synth
micro,234,0x76C,synth
micro,235,0x0DD,synth
micro,236,0x715,synth
micro,237,0x51A,synth
micro,238,0x271,synth
micro,239,0x6DA,synth
micro,240,0x536,synth
micro,241,0x30E,synth
micro,242,0x637,synth
micro,243,0x151,synth
micro,244,0x468,synth
micro,245,0x7BF,synth
micro,246,0x658,synth
micro,247,0x780,synth
micro,248,0x456,synth
micro,249,0x778,synth
micro,250,0x003,synth
micro,251,0x4E3,synth
micro,252,0x2A6,synth
micro,253,0x3FD,synth
micro,254,0x029,synth
micro,255,0x0E9,synth
macro,0,0x244,icsim
macro,1,0x188,icsim
macro,2,0x19B,icsim
macro,3,0x002,real
macro,4,0x0A0,real
macro,5,0x0A1,real
macro,6,0x130,real
macro,7,0x131,real
macro,8,0x140,real
macro,9,0x153,real
macro,10,0x18F,real
macro,11,0x1F1,real
